"","ab_id","px","pz","des","pitch_id","id","type","stand","batter","hit"
"1",53332,0.245,2.716,"In play, out(s)",200657,65,"X","R",425509,0
"2",60489,0.257,2.096,"Foul",227136,314,"S","R",425509,0
"3",60489,-0.047,2.432,"In play, out(s)",227138,316,"X","R",425509,0
"4",60518,0.9,2.1,"In play, out(s)",227253,469,"X","R",425509,0
"5",133025,0.13,2.434,"In play, no out",500402,535,"X","R",425509,1
"6",176646,0.313,2.766,"In play, out(s)",665219,84,"X","R",425509,0
"7",193613,-0.899,3.509,"In play, out(s)",729582,490,"X","R",425509,0
"8",194315,1.554,2.918,"Foul",732304,32,"S","R",425509,0
"9",265004,-0.116,2.8,"In play, no out",1000277,620,"X","R",425509,1
"10",265034,-0.03,3.307,"In play, out(s)",1000383,315,"X","R",425509,0
"11",265634,0.15,3.037,"In play, no out",1002594,417,"X","R",425509,1
"12",265657,-0.875,2.099,"Foul",1002662,59,"S","R",425509,0
"13",265657,0.066,2.116,"Foul",1002664,61,"S","R",425509,0
"14",265695,-0.974,1.884,"Foul",1002823,301,"S","R",425509,0
"15",265695,0.318,2.27,"Foul",1002825,303,"S","R",425509,0
"16",265695,0.494,1.648,"Swinging Strike",1002826,304,"S","R",425509,0
"17",266912,-0.52,2.195,"In play, no out",1007459,549,"X","R",425509,1
"18",268066,0.155,2.186,"In play, out(s)",1011706,166,"X","R",425509,0
"19",268092,0.358,2.434,"Foul",1011796,580,"S","R",425509,0
"20",268092,-0.946,1.451,"Swinging Strike",1011798,582,"S","R",425509,0
"21",269066,0.073,2.719,"Foul",1015484,339,"S","R",425509,0
"22",269066,1.207,2.157,"In play, no out",1015486,341,"X","R",425509,1
"23",270566,-0.679,2.027,"In play, no out",1021078,566,"X","R",425509,1
"24",270598,0.27,2.474,"In play, out(s)",1021219,269,"X","R",425509,0
"25",270607,0.946,1.942,"Foul",1021249,667,"S","R",425509,0
"26",270607,-0.216,1.715,"Swinging Strike",1021250,668,"S","R",425509,0
"27",270607,0.211,2.414,"Swinging Strike",1021252,674,"S","R",425509,0
"28",273752,0.371,2.508,"In play, no out",1033127,66,"X","R",425509,1
"29",273785,-0.315,1.88,"Foul",1033256,198,"S","R",425509,0
"30",273785,0.468,2.797,"Foul",1033258,200,"S","R",425509,0
"31",273785,0.104,1.836,"Foul",1033260,202,"S","R",425509,0
"32",273813,0.46,1.414,"In play, out(s)",1033358,314,"X","R",425509,0
"33",276464,0.502,1.837,"Swinging Strike",1043238,45,"S","R",425509,0
"34",276464,1.532,2.603,"Foul",1043240,47,"S","R",425509,0
"35",277568,-0.632,2.352,"Foul",1047428,454,"S","R",425509,0
"36",277568,-0.481,3.453,"Swinging Strike",1047429,455,"S","R",425509,0
"37",277568,-1.168,2.296,"Foul",1047431,457,"S","R",425509,0
"38",277568,0.899,1.175,"Foul",1047432,458,"S","R",425509,0
"39",277568,-0.034,3.14,"Foul",1047433,459,"S","R",425509,0
"40",277568,-0.268,2.885,"In play, out(s)",1047434,460,"X","R",425509,0
"41",283442,1.183,2.198,"Foul",1069639,51,"S","R",425509,0
"42",284119,0.665,2.916,"In play, no out",1072233,300,"X","R",425509,1
"43",287546,-0.431,2.522,"Foul",1085597,137,"S","R",425509,0
"44",288576,0.869,2.161,"In play, no out",1089565,163,"X","R",425509,1
"45",313080,-0.038,2.666,"In play, out(s)",1182881,539,"X","R",425509,0
"46",313102,-0.116,3.742,"Foul",1182956,252,"S","R",425509,0
"47",313102,0.669,2.325,"In play, out(s)",1182958,254,"X","R",425509,0
"48",313329,0.798,2.073,"In play, out(s)",1183781,432,"X","R",425509,0
"49",313359,-0.432,2.773,"In play, no out",1183881,304,"X","R",425509,1
"50",314445,0.872,1.827,"Swinging Strike",1188021,77,"S","R",425509,0
"51",316604,-0.889,3.875,"Swinging Strike",1196246,411,"S","R",425509,0
"52",321440,0.772,2.94,"Foul",1207393,403,"S","R",425509,0
"53",327552,0.187,2.116,"Foul",1230445,462,"S","R",425509,0
"54",327584,-0.268,3.357,"Foul",1230561,313,"S","R",425509,0
"55",327584,-0.193,3.29,"Foul",1230562,314,"S","R",425509,0
"56",327584,-1.077,1.643,"Foul",1230563,315,"S","R",425509,0
"57",404413,-0.71,1.584,"Swinging Strike",1510769,190,"S","R",425509,0
"58",404413,-1.121,2.188,"Foul",1510770,191,"S","R",425509,0
"59",404413,-1.123,2.131,"Foul",1510771,192,"S","R",425509,0
"60",404413,-1.513,2.138,"Foul",1510773,194,"S","R",425509,0
"61",404413,-0.828,2.321,"Foul",1510775,196,"S","R",425509,0
"62",404413,-0.43,2.579,"Foul",1510777,198,"S","R",425509,0
"63",404413,-0.61,2.646,"Swinging Strike",1510778,199,"S","R",425509,0
"64",404435,-0.343,2.787,"Foul",1510858,317,"S","R",425509,0
"65",404435,-0.829,2.202,"Swinging Strike",1510859,318,"S","R",425509,0
"66",404435,-1.158,1.967,"Swinging Strike",1510860,319,"S","R",425509,0
"67",405415,-0.282,4.154,"Swinging Strike",1514546,35,"S","R",425509,0
"68",406698,-0.468,2.78,"In play, out(s)",1519469,212,"X","R",425509,0
"69",413262,-1.122,2.043,"Swinging Strike",1544526,476,"S","R",425509,0
"70",413262,-0.756,2.731,"In play, out(s)",1544527,477,"X","R",425509,0
"71",415677,-0.444,2.683,"Foul",1553733,525,"S","R",425509,0
"72",415677,-0.868,3.963,"Swinging Strike",1553734,526,"S","R",425509,0
"73",415703,0.095,2.085,"In play, no out",1553831,1012,"X","R",425509,1
"74",415715,0.264,2.1,"In play, no out",1553880,97,"X","R",425509,1
"75",415734,-0.694,3.019,"Foul",1553960,259,"S","R",425509,0
