"","fscale","injury","fatality","loss","stlat","endlat","stlon","endlon","lat","long"
"1",3,3,0,6,38.77,38.83,-90.22,-90.03,38.8,-90.125
"2",3,3,0,6,38.77,38.82,-90.22,-90.12,38.795,-90.17
"3",3,0,0,5,38.82,38.83,-90.12,-90.03,38.825,-90.075
"4",3,3,0,5,39.1,39.12,-89.3,-89.23,39.11,-89.265
"5",2,5,0,5,37.6,37.63,-90.68,-90.65,37.615,-90.665
"6",2,2,0,0,26.88,26.88,-98.12,-98.05,26.88,-98.085
"7",2,0,0,4,29.42,29.52,-95.25,-95.13,29.47,-95.19
"8",3,12,1,4,29.67,29.83,-95.05,-95,29.75,-95.025
"9",2,5,0,5,32.35,32.42,-95.2,-95.2,32.385,-95.2
"10",2,6,0,5,32.98,33,-94.63,-94.7,32.99,-94.665
"11",2,8,1,4,33.33,33.45,-94.42,-94.42,33.39,-94.42
"12",1,0,0,4,32.08,32.1,-98.35,-98.33,32.09,-98.34
"13",2,0,0,4,31.52,31.57,-96.55,-96.55,31.545,-96.55
"14",1,32,0,5,31.8,31.88,-94.2,-94.12,31.84,-94.16
"15",3,15,3,5,31.8,31.8,-94.2,-94.18,31.8,-94.19
"16",4,77,18,5,31.97,33,-94,-93.3,32.485,-93.65
"17",2,10,5,5,32.2,32.97,-93.58,-93.17,32.585,-93.375
"18",3,25,5,5,31.63,32.55,-93.65,-93.03,32.09,-93.34
"19",2,0,0,4,33.27,33.35,-92.95,-92.95,33.31,-92.95
"20",0,0,0,4,29.7,29.67,-90.1,-89.8,29.685,-89.95
"21",2,3,0,4,34.12,34.32,-93.07,-92.88,34.22,-92.975
"22",3,1,0,5,36.15,36.2,-91.83,-91.75,36.175,-91.79
"23",2,7,0,5,34.7,34.8,-92.35,-92.22,34.75,-92.285
"24",3,20,0,5,34.98,35.08,-91.73,-91.5,35.03,-91.615
"25",2,2,0,0,35.1,35.15,-91.4,-91.33,35.125,-91.365
"26",1,2,0,4,32.63,32.73,-91.28,-91.05,32.68,-91.165
"27",2,0,0,0,33.13,33.25,-89.57,-89.42,33.19,-89.495
"28",2,7,0,5,32.28,32.98,-90.27,-89.82,32.63,-90.045
"29",2,6,0,5,32.28,32.48,-90.27,-89.78,32.38,-90.025
"30",2,0,0,0,33.67,33.72,-88.78,-88.73,33.695,-88.755
"31",2,0,0,3,40.57,40.6,-88.6,-88.55,40.585,-88.575
"32",3,15,0,4,30.67,30.85,-88.2,-88.1,30.76,-88.15
"33",3,1,1,5,34.88,35.17,-99.28,-99.2,35.025,-99.24
"34",1,0,0,4,38.12,38.35,-95.85,-95.63,38.235,-95.74
"35",4,5,5,5,32.42,32.42,-99.5,-99.48,32.42,-99.49
"36",4,32,5,5,35.08,35.13,-96.4,-96.35,35.105,-96.375
"37",2,0,0,5,31.27,31.38,-89.83,-89.7,31.325,-89.765
"38",1,0,0,4,31.9,31.73,-98.6,-98.6,31.815,-98.6
"39",1,0,0,5,31.95,32.05,-92.63,-92.4,32,-92.515
"40",2,7,0,5,31.55,31.57,-92.9,-92.85,31.56,-92.875
"41",1,1,0,5,31.67,32,-92.9,-92.5,31.835,-92.7
"42",2,13,1,5,36.4,36.42,-100.8,-100.77,36.41,-100.785
"43",2,0,0,4,35.25,35.32,-99.55,-99.5,35.285,-99.525
"44",4,1,0,5,38.03,38.45,-99.12,-98.78,38.24,-98.95
"45",3,12,0,5,39.62,39.85,-95.62,-95.52,39.735,-95.57
"46",2,3,0,4,36.12,36.17,-97.83,-97.78,36.145,-97.805
"47",2,0,0,5,39.35,39.47,-98.48,-98.3,39.41,-98.39
"48",2,1,0,4,39.57,39.63,-98.3,-98.2,39.6,-98.25
"49",2,0,0,0,41.03,41.02,-95.27,-95.22,41.025,-95.245
"50",2,2,0,4,39.23,39.23,-98.95,-98.58,39.23,-98.765
"51",2,1,0,4,40.38,40.28,-95.8,-95.68,40.33,-95.74
"52",1,0,0,3,35.3,35.33,-79.8,-79.75,35.315,-79.775
"53",2,0,0,4,29.78,29.67,-98.83,-98.57,29.725,-98.7
"54",1,1,0,3,35.82,35.87,-99.12,-99,35.845,-99.06
"55",3,2,0,5,38.12,38.33,-96.82,-96.82,38.225,-96.82
"56",2,1,0,3,37.27,37.28,-99.48,-99.42,37.275,-99.45
"57",1,0,0,4,39.38,39.45,-96.97,-96.78,39.415,-96.875
"58",1,0,0,3,32.67,32.65,-101.88,-101.85,32.66,-101.865
"59",1,0,0,0,33.35,33.3,-96.92,-96.92,33.325,-96.92
"60",1,1,0,4,33.85,33.85,-84.25,-84.2,33.85,-84.225
"61",3,6,0,5,30.18,30.02,-96.4,-96.05,30.1,-96.225
"62",1,2,0,6,29.9,29.72,-96.4,-96.07,29.81,-96.235
"63",4,5,1,5,38.33,38.33,-97.93,-97.6,38.33,-97.765
"64",1,0,0,3,38,38.02,-92.22,-92.17,38.01,-92.195
