"","hit","px","pz"
"1",3,-90.125,38.8
"2",3,-90.17,38.795
"3",3,-90.075,38.825
"4",3,-89.265,39.11
"5",2,-90.665,37.615
"6",2,-98.085,26.88
"7",2,-95.19,29.47
"8",3,-95.025,29.75
"9",2,-95.2,32.385
"10",2,-94.665,32.99
"11",2,-94.42,33.39
"12",1,-98.34,32.09
"13",2,-96.55,31.545
"14",1,-94.16,31.84
"15",3,-94.19,31.8
"16",4,-93.65,32.485
"17",2,-93.375,32.585
"18",3,-93.34,32.09
"19",2,-92.95,33.31
"20",0,-89.95,29.685
"21",2,-92.975,34.22
"22",3,-91.79,36.175
"23",2,-92.285,34.75
"24",3,-91.615,35.03
"25",2,-91.365,35.125
"26",1,-91.165,32.68
"27",2,-89.495,33.19
"28",2,-90.045,32.63
"29",2,-90.025,32.38
"30",2,-88.755,33.695
"31",2,-88.575,40.585
"32",3,-88.15,30.76
"33",3,-99.24,35.025
"34",1,-95.74,38.235
"35",4,-99.49,32.42
"36",4,-96.375,35.105
"37",2,-89.765,31.325
"38",1,-98.6,31.815
"39",1,-92.515,32
"40",2,-92.875,31.56
"41",1,-92.7,31.835
"42",2,-100.785,36.41
"43",2,-99.525,35.285
"44",4,-98.95,38.24
"45",3,-95.57,39.735
"46",2,-97.805,36.145
"47",2,-98.39,39.41
"48",2,-98.25,39.6
"49",2,-95.245,41.025
"50",2,-98.765,39.23
"51",2,-95.74,40.33
"52",1,-79.775,35.315
"53",2,-98.7,29.725
"54",1,-99.06,35.845
"55",3,-96.82,38.225
"56",2,-99.45,37.275
"57",1,-96.875,39.415
"58",1,-101.865,32.66
"59",1,-96.92,33.325
"60",1,-84.225,33.85
"61",3,-96.225,30.1
"62",1,-96.235,29.81
"63",4,-97.765,38.33
"64",1,-92.195,38.01
"65",2,-97.85,42.625
"66",3,-103.525,48.85
"67",2,-96.33,46.55
"68",3,-93.54,41.975
"69",1,-101.205,38.49
"70",0,-102.39,36.08
"71",0,-98.005,40.19
"72",2,-90.21,45.57
"73",2,-90.315,44.9
"74",4,-89.455,45.625
"75",3,-88.94,43.96
"76",2,-75.585,40.615
"77",1,-103.5,35.305
"78",4,-96.51,41.765
"79",1,-87.11,40.2
"80",2,-84.6,40.81
"81",3,-84.025,40.775
"82",2,-85.08,41.075
"83",1,-107.265,34.07
"84",2,-102.51,40.705
"85",2,-100.55,39.125
"86",2,-91.405,34.415
"87",1,-100.76,37.445
"88",2,-96.21,35.035
"89",1,-96.6,40.72
"90",1,-102.41,36.805
"91",3,-76.025,40.3
"92",2,-89.885,39.02
"93",3,-89.525,38.825
"94",3,-91.775,36.15
"95",1,-89.7,38.195
"96",3,-92.435,31.415
"97",2,-122.075,37.395
"98",1,-90.395,30.505
"99",2,-98.005,35.55
"100",2,-91.21,35.075
"101",2,-85.745,39.8
"102",2,-97.51,35.345
"103",2,-98.895,36.55
"104",3,-89.185,31.915
"105",0,-101.31,37.6
"106",2,-83.535,41.05
"107",3,-98.665,37.7
"108",3,-97.53,35.465
"109",2,-84.025,42.715
"110",1,-95.485,39.315
"111",2,-98.725,33.93
"112",2,-96.535,34.09
"113",2,-79.05,40.085
"114",1,-102.175,41.015
"115",0,-102.21,41
"116",3,-101.11,37.96
"117",2,-83.755,31.285
"118",3,-97.155,39.295
"119",2,-103.34,41.815
"120",1,-99.295,38.85
"121",1,-96.99,39.175
"122",1,-96.385,39.375
"123",2,-95.375,39.385
"124",1,-97.88,39.755
"125",2,-103.54,38.75
"126",1,-99.9,38.905
"127",3,-101.15,37.305
"128",3,-101.125,35.375
"129",2,-100.165,34.43
"130",2,-97.675,34.715
"131",1,-95.7,36.465
"132",3,-98.71,35.355
"133",1,-78.305,36.015
"134",2,-77.455,37.575
"135",1,-99.975,32.45
"136",2,-97.295,32.45
"137",4,-93.86,45.05
"138",1,-103.83,42.965
"139",2,-100.92,38.475
